,code,N,meaning,codeID,path,path_meaning,Biomarker,parallel_group,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
codeD508,D508,419,D50.8 Other iron deficiency anaemias,codeD508,D50,D50 Iron deficiency anaemia,codeD508,9,0,0,0,NaN,-0.109147745260724,0.344891736807162,NA
codeD509,D509,1072,D50.9 Iron deficiency anaemia- unspecified,codeD509,D50,D50 Iron deficiency anaemia,codeD509,9,0,0,0,NaN,-0.107238353550331,0.358599355646347,NA
codeD510,D510,85,D51.0 Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,codeD510,D51,D51 Vitamin B12 deficiency anaemia,codeD510,9,0,0,0,NaN,-0.663897846070792,0.863893041211587,NA
codeD529,D529,48,D52.9 Folate deficiency anaemia- unspecified,codeD529,D52,D52 Folate deficiency anaemia,codeD529,10,0,0,0,NaN,-0.14233253922964,0.160228399535797,NA
codeD619,D619,86,D61.9 Aplastic anaemia- unspecified,codeD619,D61,D61 Other aplastic anaemias,codeD619,10,0,0,0,NaN,-0.18236980878328,0.199234716054972,NA
codeD62,D62,36,D62 Acute posthaemorrhagic anaemia,codeD62,D62,D62 Acute posthaemorrhagic anaemia,codeD62,10,34,0,0,-3.39422255733182,-0.209942363898237,0.242601121553313,0.119246058139223
codeD630,D630,66,D63.0 Anaemia in neoplastic disease,codeD630,D63,D63 Anaemia in chronic diseases classified elsewhere,codeD630,10,0,0,0,NaN,-0.217483497998048,0.200061184094242,NA
codeD649,D649,1981,D64.9 Anaemia- unspecified,codeD649,D64,D64 Other anaemias,codeD649,10,1736,4480,0,-0.357263960737544,-0.153427805639936,0.883328129127752,0.0211924389155982
codeD682,D682,46,D68.2 Hereditary deficiency of other clotting factors,codeD682,D68,D68 Other coagulation defects,codeD682,10,0,0,0,NaN,0.535555163997123,0.403867160514998,NA
codeD685,D685,38,D68.5 Primary Thrombophilia,codeD685,D68,D68 Other coagulation defects,codeD685,10,0,0,0,NaN,0.0996720504932363,0.126657325996302,NA
codeD693,D693,77,D69.3 Idiopathic thrombocytopenic purpura,codeD693,D69,D69 Purpura and other haemorrhagic conditions,codeD693,10,0,0,0,NaN,0.15132219414886,0.157711184344798,NA
codeD696,D696,281,D69.6 Thrombocytopenia- unspecified,codeD696,D69,D69 Purpura and other haemorrhagic conditions,codeD696,10,8,0,0,-0.898687747865501,-0.393298869479567,0.838892002091917,0.0348423861848696
codeD70,D70,529,D70 Agranulocytosis,codeD70,D70,D70 Agranulocytosis,codeD70,10,0,0,0,NaN,-0.0563350231730374,0.15940055490983,NA
codeD728,D728,65,D72.8 Other specified disorders of white blood cells,codeD728,D72,D72 Other disorders of white blood cells,codeD728,10,0,0,0,NaN,-0.123394892120804,0.169373458440481,NA
codeD730,D730,68,D73.0 Hyposplenism,codeD730,D73,D73 Diseases of spleen,codeD730,10,0,0,0,NaN,-0.590795262118063,0.503084421894922,NA
codeD751,D751,44,D75.1 Secondary polycythaemia,codeD751,D75,D75 Other diseases of blood and blood-forming organs,codeD751,10,0,0,0,NaN,-0.7168291854247,0.580264925241301,NA
codeD758,D758,35,D75.8 Other specified diseases of blood and blood-forming organs,codeD758,D75,D75 Other diseases of blood and blood-forming organs,codeD758,10,0,0,0,NaN,-0.203789830875147,0.132417364947758,NA
codeD860,D860,36,D86.0 Sarcoidosis of lung,codeD860,D86,D86 Sarcoidosis,codeD860,10,0,0,0,NaN,-0.305580358472241,0.208384532960475,NA
codeD869,D869,59,D86.9 Sarcoidosis- unspecified,codeD869,D86,D86 Sarcoidosis,codeD869,10,0,0,0,NaN,-0.113952192159849,0.143387824309868,NA
codeE039,E039,2126,E03.9 Hypothyroidism- unspecified,codeE039,E03,E03 Other hypothyroidism,codeE039,10,5150,15849,0,-0.368558000257187,-0.240752278829496,1.65394970116231,0.0280744300861733
codeE041,E041,91,E04.1 Non-toxic single thyroid nodule,codeE041,E04,E04 Other non-toxic goitre,codeE041,10,0,0,0,NaN,-0.0198060461475821,0.1317873764929,NA
codeE042,E042,112,E04.2 Non-toxic multinodular goitre,codeE042,E04,E04 Other non-toxic goitre,codeE042,10,0,0,0,NaN,0.0658321097510374,0.164340007898299,NA
codeE049,E049,88,E04.9 Non-toxic goitre- unspecified,codeE049,E04,E04 Other non-toxic goitre,codeE049,11,0,0,0,NaN,-0.294525703163021,0.306084500567828,NA
codeE050,E050,53,E05.0 Thyrotoxicosis with diffuse goitre,codeE050,E05,E05 Thyrotoxicosis [hyperthyroidism],codeE050,11,0,0,0,NaN,-0.268068313874851,0.290505469034464,NA
codeE059,E059,205,E05.9 Thyrotoxicosis- unspecified,codeE059,E05,E05 Thyrotoxicosis [hyperthyroidism],codeE059,11,9,0,0,-0.783027860686602,-0.418957065818656,0.887419949691382,0.0215985863647862
codeE079,E079,60,E07.9 Disorder of thyroid- unspecified,codeE079,E07,E07 Other disorders of thyroid,codeE079,11,0,0,0,NaN,-0.728342217232447,0.754925083344168,NA
codeE109,E109,162,E10.9 Without complications,codeE109,E10,E10 Insulin-dependent diabetes mellitus,codeE109,11,2421,6057,0,-1.27752708336074,-0.586627765951335,0.968058681746756,0.11827938574692
codeE113,E113,89,E11.3 With ophthalmic complications,codeE113,E11,E11 Non-insulin-dependent diabetes mellitus,codeE113,11,582,574,0,-1.71384235069147,-0.81076322259644,1.22309305802316,0.200626513056635
codeE114,E114,37,E11.4 With neurological complications,codeE114,E11,E11 Non-insulin-dependent diabetes mellitus,codeE114,11,199,0,0,-2.88958167673345,-0.96836813118001,0.716081993237855,0.29202338511925
codeE119,E119,2128,E11.9 Without complications,codeE119,E11,E11 Non-insulin-dependent diabetes mellitus,codeE119,11,26718,28783,11645,-0.609426400763315,-0.581509622527038,8.24249234994909,0.195189242856242
codeE149,E149,205,E14.9 Without complications,codeE149,E14,E14 Unspecified diabetes mellitus,codeE149,11,0,0,0,NaN,-0.421946441749117,0.717932035242105,NA
codeE162,E162,129,E16.2 Hypoglycaemia- unspecified,codeE162,E16,E16 Other disorders of pancreatic internal secretion,codeE162,11,0,0,0,NaN,0.139633796471128,0.220360869844676,NA
codeE210,E210,116,E21.0 Primary hyperparathyroidism,codeE210,E21,E21 Hyperparathyroidism and other disorders of parathyroid gland,codeE210,11,38,0,0,-1.98749431092697,-0.670120525470291,0.989929162694602,0.0935290232844666
codeE213,E213,87,E21.3 Hyperparathyroidism- unspecified,codeE213,E21,E21 Hyperparathyroidism and other disorders of parathyroid gland,codeE213,11,3561,24690,0,-1.65419784174997,-1.21920909035408,2.004849354352,0.130560670660253
codeE222,E222,49,E22.2 Syndrome of inappropriate secretion of antidiuretic hormone,codeE222,E22,E22 Hyperfunction of pituitary gland,codeE222,11,0,0,0,NaN,-0.663783316926118,0.571269082190785,NA
codeE230,E230,44,E23.0 Hypopituitarism,codeE230,E23,E23 Hypofunction and other disorders of pituitary gland,codeE230,11,6,0,0,-2.22898570966127,-0.405520410808512,0.242030890009207,0.0374913468211255
codeE274,E274,49,E27.4 Other and unspecified adrenocortical insufficiency,codeE274,E27,E27 Other disorders of adrenal gland,codeE274,11,0,0,0,NaN,-0.737148975364283,0.662882899548591,NA
codeE282,E282,34,E28.2 Polycystic ovarian syndrome,codeE282,E28,E28 Ovarian dysfunction,codeE282,11,0,0,0,NaN,0.0590535497473124,0.138290859145918,NA
codeE291,E291,33,E29.1 Testicular hypofunction,codeE291,E29,E29 Testicular dysfunction,codeE291,11,4909,19887,0,-2.62845312381223,-1.87711083473911,2.01537238456458,0.202567313137741
codeE46,E46,33,E46 Unspecified protein-energy malnutrition,codeE46,E46,E46 Unspecified protein-energy malnutrition,codeE46,11,1103,1662,0,3.23124536758259,1.00059666060931,0.697372331886505,0.352017603148476
codeE538,E538,207,E53.8 Deficiency of other specified B group vitamins,codeE538,E53,E53 Deficiency of other B group vitamins,codeE538,11,1928,3094,0,-1.26112627607334,-0.363180148993573,0.521384580481518,0.192096429588794
codeE559,E559,388,E55.9 Vitamin D deficiency- unspecified,codeE559,E55,E55 Vitamin D deficiency,codeE559,11,0,0,0,NaN,0.0794542229801961,0.160487502453516,NA
codeE611,E611,65,E61.1 Iron deficiency,codeE611,E61,E61 Deficiency of other nutrient elements,codeE611,11,0,0,0,NaN,-0.294760445371188,0.260403231816952,NA
codeE668,E668,307,E66.8 Other obesity,codeE668,E66,E66 Obesity,codeE668,12,10008,26289,0,-0.941417769863234,-0.744096988678781,2.49832465843712,0.176698083931305
codeE669,E669,2424,E66.9 Obesity- unspecified,codeE669,E66,E66 Obesity,codeE669,12,9647,20602,4,-0.39276908970082,-0.256448326167347,2.19559828162323,0.0753952982633893
codeE739,E739,31,E73.9 Lactose intolerance- unspecified,codeE739,E73,E73 Lactose intolerance,codeE739,12,0,0,0,NaN,-0.640018552052092,0.398546222875926,NA
codeE780,E780,5227,E78.0 Pure hypercholesterolaemia,codeE780,E78,E78 Disorders of lipoprotein metabolism and other lipidaemias,codeE780,12,15494,28372,1867,-0.298607806320568,-0.250135740984873,3.11826702695133,0.0890521921220935
codeE785,E785,988,E78.5 Hyperlipidaemia- unspecified,codeE785,E78,E78 Disorders of lipoprotein metabolism and other lipidaemias,codeE785,12,6749,25677,5,-0.635070144480076,-0.414019703370188,2.14692363321591,0.141858937351154
