,Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula,Sub_group,miss,miss_p,miss_Sub_group,HVGs,HVGs.more,HVGs.less,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
PUFA_pct,PUFA_pct,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23453,23753,(Omega_3 + Omega_6) / (Omega_3 + Omega_6 + MUFA + SFA) * 100,PUFA / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,TRUE,FALSE,Fatty acids_Fatty acid ratios,4,0.959635830532254,28890,28978,2517,0.191485856496928,0.191093098488564,5.0189300439063,0.0445076397126805
MUFA_pct,MUFA_pct,Monounsaturated Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23454,23754,MUFA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,MUFA / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,TRUE,TRUE,Fatty acids_Fatty acid ratios,4,0.95351895804249,25170,25908,606,-0.160475767138297,-0.149887357657258,3.34141039598813,0.0422030290922852
SFA_pct,SFA_pct,Saturated Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23455,23755,SFA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,SFA / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,FALSE,FALSE,Fatty acids_Fatty acid ratios,4,0.972889034781522,28200,28634,0,-0.144896056418657,-0.14351930936255,3.03139126791332,0.0350932149520252
LA_pct,LA_pct,Linoleic Acid to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23456,23756,LA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,LA / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,TRUE,TRUE,Fatty acids_Fatty acid ratios,4,0.965013303831384,29041,29041,23773,0.296092517357851,0.296092517357851,11.1535854336019,0.0551604686806568
DHA_pct,DHA_pct,Docosahexaenoic Acid to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23457,23757,DHA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,DHA / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,TRUE,TRUE,Fatty acids_Fatty acid ratios,4,0.951522972957045,14,0,0,-0.153240893761225,-0.0042807627580567,0.196839713917613,0.0157242966919422
PUFA_by_MUFA,PUFA_by_MUFA,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,ratio,Fatty acids,Fatty acid ratios,Ratio,TRUE,23458,23758,(Omega_3 + Omega_6) / MUFA,PUFA / MUFA,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,FALSE,FALSE,Fatty acids_Fatty acid ratios,4,0.957421810252086,26941,27758,1217,0.174258609776319,0.168623434817233,4.08421191778691,0.044475656021325
Omega_6_by_Omega_3,Omega_6_by_Omega_3,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio,ratio,Fatty acids,Fatty acid ratios,Ratio,TRUE,23459,23759,Omega_6 / Omega_3,Omega_6 / Omega_3,Fatty acids Fatty acid ratios,1700,0.0138032949276951,0.0159763911986648,TRUE,TRUE,TRUE,Fatty acids_Fatty acid ratios,4,0.946914262328626,15786,15251,0,0.11374131546113,0.0986520046387793,1.61755782063377,0.0226690337920796
Ala,Ala,Alanine,mmol/L,Amino acids,,Non-derived,TRUE,23460,23760,,,Amino acids Amino acids,911,0.00739694216419425,0.0085357139957291,FALSE,FALSE,FALSE,Amino acids_,4,0.988199542941241,6360,3835,0,-0.142024268504249,-0.0720772591748256,0.853531755322059,0.0488744772714925
Gln,Gln,Glutamine,mmol/L,Amino acids,,Non-derived,TRUE,23461,23761,,,Amino acids Amino acids,1851,0.0150293523006845,0.0085357139957291,FALSE,FALSE,FALSE,Amino acids_,4,0.909516788158252,7248,3284,0,0.118070559359326,0.0729857299909825,1.04646787161716,0.0328168886839323
Gly,Gly,Glycine,mmol/L,Amino acids,,Non-derived,TRUE,23462,23762,,,Amino acids Amino acids,565,0.00458756566714572,0.0085357139957291,FALSE,TRUE,FALSE,Amino acids_,4,0.974612743741581,19586,20641,0,0.133312910378051,0.115272790776704,2.0083657002619,0.0357403037225506
His,His,Histidine,mmol/L,Amino acids,,Non-derived,TRUE,23463,23763,,,Amino acids Amino acids,878,0.00712899585089194,0.0085357139957291,FALSE,FALSE,FALSE,Amino acids_,4,0.972631331173747,708,0,0,0.0634221314135845,0.012522995603508,0.321697415847054,0.0743923710013931
Total_BCAA,Total_BCAA,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),mmol/L,Amino acids,Branched-chain amino acids,Composite,TRUE,23464,23764,Leu + Ile + Val,Leu + Ile + Val,Amino acids Branched-chain amino acids,1317,0.0106934937763379,0.00591511785577993,FALSE,FALSE,FALSE,Amino acids_Branched-chain amino acids,4,0.939889365945203,17823,18869,0,-0.11558501571936,-0.102258353733628,1.77340752650016,0.0212422349680493
Ile,Ile,Isoleucine,mmol/L,Amino acids,Branched-chain amino acids,Non-derived,TRUE,23465,23765,,,Amino acids Branched-chain amino acids,277,0.00224912511468914,0.00591511785577993,FALSE,FALSE,FALSE,Amino acids_Branched-chain amino acids,4,0.944051881629337,23515,25340,0,-0.122497602896603,-0.114785449674913,2.15709483614326,0.0256143880568898
Leu,Leu,Leucine,mmol/L,Amino acids,Branched-chain amino acids,Non-derived,TRUE,23466,23766,,,Amino acids Branched-chain amino acids,371,0.00301236612833816,0.00591511785577993,FALSE,FALSE,FALSE,Amino acids_Branched-chain amino acids,4,0.938834072080587,8927,0,0,-0.106778290956271,-0.0825564234375792,1.23851304054193,0.0212476408031578
Val,Val,Valine,mmol/L,Amino acids,Branched-chain amino acids,Non-derived,TRUE,23467,23767,,,Amino acids Branched-chain amino acids,949,0.0077054864037545,0.00591511785577993,FALSE,FALSE,FALSE,Amino acids_Branched-chain amino acids,4,0.944019005840043,16955,17457,0,-0.113716467240564,-0.0990867958801578,1.71485366503818,0.0188771918468361
Phe,Phe,Phenylalanine,mmol/L,Amino acids,Aromatic amino acids,Non-derived,TRUE,23468,23768,,,Amino acids Aromatic amino acids,655,0.0053183283397884,0.00563905195722602,FALSE,FALSE,FALSE,Amino acids_Aromatic amino acids,4,0.945695475337988,9856,0,0,-0.108015881456887,-0.0786497148552388,1.26896473138113,0.0188608060660166
Tyr,Tyr,Tyrosine,mmol/L,Amino acids,Aromatic amino acids,Non-derived,TRUE,23469,23769,,,Amino acids Aromatic amino acids,734,0.00595977557466365,0.00563905195722602,FALSE,FALSE,FALSE,Amino acids_Aromatic amino acids,5,0.967309330548914,2132,0,0,-0.115721091262937,-0.0552757951276963,0.672322785574922,0.0208331835303345
Glucose,Glucose,Glucose,mmol/L,Glycolysis related metabolites,,Non-derived,TRUE,23470,23770,,,Glycolysis related metabolites Glycolysis related metabolites,954,0.00774608433001242,0.00752279573559383,FALSE,TRUE,TRUE,Glycolysis related metabolites_,5,0.961157438922067,28878,28932,4993,-0.225261730618407,-0.224561971415549,6.98030799244015,0.0348399540983246
Lactate,Lactate,Lactate,mmol/L,Glycolysis related metabolites,,Non-derived,TRUE,23471,23771,,,Glycolysis related metabolites Glycolysis related metabolites,752,0.00610592810919218,0.00752279573559383,FALSE,TRUE,TRUE,Glycolysis related metabolites_,5,0.985505526251804,2723,0,0,-0.0495173962269192,0.0239787691176372,0.562586038132449,0.142620724913265
Pyruvate,Pyruvate,Pyruvate,mmol/L,Glycolysis related metabolites,,Non-derived,TRUE,23472,23772,,,Glycolysis related metabolites Glycolysis related metabolites,724,0.00587857972214779,0.00752279573559383,FALSE,TRUE,FALSE,Glycolysis related metabolites_,5,0.961645337308777,697,0,0,-0.105374618383393,-0.0243831039927955,0.41152421172185,0.00879586098402716
Citrate,Citrate,Citrate,mmol/L,Glycolysis related metabolites,,Non-derived,TRUE,23473,23773,,,Glycolysis related metabolites Glycolysis related metabolites,1276,0.0103605907810229,0.00752279573559383,FALSE,FALSE,FALSE,Glycolysis related metabolites_,5,0.921009490738337,335,0,0,0.13294066263594,0.0200588820748898,0.230168448321225,0.0246079046950896
bOHbutyrate,bOHbutyrate,3-Hydroxybutyrate,mmol/L,Ketone bodies,,Non-derived,TRUE,23474,23774,,,Ketone bodies Ketone bodies,1588,0.0128939013795175,0.00722643087391096,FALSE,TRUE,FALSE,Ketone bodies_,5,0.972139252029359,260,0,0,0.14811259639377,0.000476576895009256,0.188555217677093,0.0194236277411351
Acetate,Acetate,Acetate,mmol/L,Ketone bodies,,Non-derived,TRUE,23475,23775,,,Ketone bodies Ketone bodies,1046,0.00849308617315827,0.00722643087391096,FALSE,TRUE,FALSE,Ketone bodies_,5,0.932086494903452,687,0,0,-0.101117163252696,-0.0540982369018133,0.727773442518082,0.0158450147507983
Acetoacetate,Acetoacetate,Acetoacetate,mmol/L,Ketone bodies,,Non-derived,TRUE,23476,23776,,,Ketone bodies Ketone bodies,370,0.00300424654308658,0.00722643087391096,FALSE,TRUE,FALSE,Ketone bodies_,5,0.964565979161854,16719,16891,0,-0.122415963824013,-0.0969664500388375,1.74276005457114,0.0220478754397867
Acetone,Acetone,Acetone,mmol/L,Ketone bodies,,Non-derived,TRUE,23477,23777,,,Ketone bodies Ketone bodies,556,0.00451448939988145,0.00722643087391096,FALSE,FALSE,FALSE,Ketone bodies_,5,0.956280355949268,26,0,0,-0.102414599353639,-0.0219724027994455,0.260211913141292,0.00418000306366642
Creatinine,Creatinine,Creatinine,mmol/L,Fluid balance,,Non-derived,TRUE,23478,23778,,,Fluid balance Fluid balance,5936,0.0481978580534106,0.031605485591796,FALSE,FALSE,FALSE,Fluid balance_,5,0.962759339747136,4107,0,0,-0.124388759157822,-0.0639659135750725,0.745612491872478,0.0224979643734734
Albumin,Albumin,Albumin,g/l,Fluid balance,,Non-derived,TRUE,23479,23779,,,Fluid balance Fluid balance,1849,0.0150131131301813,0.031605485591796,FALSE,FALSE,FALSE,Fluid balance_,5,0.974023224883208,1727,0,0,0.107203687776649,0.0187954408638238,0.276289821558654,0.010918460562838
GlycA,GlycA,Glycoprotein Acetyls,mmol/L,Inflammation,,Non-derived,TRUE,23480,23780,,,Inflammation Inflammation,1626,0.0132024456190778,0.0132024456190778,FALSE,FALSE,FALSE,Inflammation_,5,0.978292503125213,23814,24799,161,-0.147092288120301,-0.133561536704511,2.99874661980249,0.0352879691794197
XXL_VLDL_P,XXL_VLDL_P,Concentration of Chylomicrons and Extremely Large VLDL Particles,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23481,23781,,,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),367,0.00297988778733182,0.00329307178989297,FALSE,FALSE,FALSE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.978174024201442,19316,20439,0,-0.127939496696227,-0.108631746282005,1.96338479268393,0.034363509365647
XXL_VLDL_L,XXL_VLDL_L,Total Lipids in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Composite,TRUE,23482,23782,XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG,XXL_VLDL_C + XXL_VLDL_PL + XXL_VLDL_TG,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),640,0.00519653456101462,0.00329307178989297,FALSE,TRUE,TRUE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.97893644796144,17339,17871,0,-0.126500648968012,-0.104158138883793,1.78771053629634,0.0371039936596475
XXL_VLDL_PL,XXL_VLDL_PL,Phospholipids in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23483,23783,,,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),275,0.00223288594418597,0.00329307178989297,FALSE,TRUE,FALSE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.983583883536834,19367,20343,0,-0.13307929008972,-0.111179898560253,2.04146954517858,0.0375650193694653
XXL_VLDL_C,XXL_VLDL_C,Cholesterol in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Composite,TRUE,23484,23784,XXL_VLDL_CE + XXL_VLDL_FC,XXL_VLDL_CE + XXL_VLDL_FC,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),367,0.00297988778733182,0.00329307178989297,FALSE,TRUE,FALSE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.980259625850526,13795,12568,0,-0.12013273317766,-0.0898765150829029,1.49017898905073,0.0335767554581151
XXL_VLDL_CE,XXL_VLDL_CE,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23485,23785,,,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),275,0.00223288594418597,0.00329307178989297,FALSE,TRUE,FALSE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.978765096011415,10517,6902,0,-0.114663759927946,-0.0787061589632882,1.22922744205354,0.0318269566917914
XXL_VLDL_FC,XXL_VLDL_FC,Free Cholesterol in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23486,23786,,,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),367,0.00297988778733182,0.00329307178989297,FALSE,TRUE,FALSE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.981419679949634,17433,17939,0,-0.126741025146247,-0.10257622196017,1.81812494407953,0.0356330146462712
XXL_VLDL_TG,XXL_VLDL_TG,Triglycerides in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23487,23787,,,Lipoprotein subclasses Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),548,0.00444953271786877,0.00329307178989297,FALSE,TRUE,TRUE,Lipoprotein subclasses_Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),5,0.975513734387817,17067,17448,0,-0.124868495949092,-0.10370036874393,1.7512566036574,0.0369198445846575
XL_VLDL_P,XL_VLDL_P,Concentration of Very Large VLDL Particles,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23488,23788,,,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),369,0.00299612695783499,0.00298568749108296,FALSE,FALSE,FALSE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),5,0.973472030967121,7884,2959,0,-0.111931446932428,-0.074508626649631,1.08868320305837,0.0314501902719622
XL_VLDL_L,XL_VLDL_L,Total Lipids in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Composite,TRUE,23489,23789,XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG,XL_VLDL_C + XL_VLDL_PL + XL_VLDL_TG,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),735,0.00596789515991523,0.00298568749108296,FALSE,TRUE,TRUE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),5,0.976215203592829,7614,3150,0,-0.113631598868354,-0.0731746582943476,1.05188495066364,0.0338092311643567
XL_VLDL_PL,XL_VLDL_PL,Phospholipids in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23490,23790,,,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),367,0.00297988778733182,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),6,0.97837142581958,5380,0,0,-0.106984786264324,-0.0597618222032404,0.804040989361931,0.0290256054308825
XL_VLDL_C,XL_VLDL_C,Cholesterol in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Composite,TRUE,23491,23791,XL_VLDL_CE + XL_VLDL_FC,XL_VLDL_CE + XL_VLDL_FC,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),367,0.00297988778733182,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),6,0.979338548436612,102,0,0,-0.0715709684729115,-0.0100445332567756,0.233415578574035,0.0633450938129452
XL_VLDL_CE,XL_VLDL_CE,Cholesteryl Esters in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23492,23792,,,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),183,0.00148588410104012,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),6,0.98025566485357,266,0,0,0.141488582243257,0.0229737911982076,0.274067395256346,0.016263430499375
XL_VLDL_FC,XL_VLDL_FC,Free Cholesterol in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23493,23793,,,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),184,0.0014940036862917,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),6,0.977709894184144,2878,0,0,-0.104173273454167,-0.0452351478252352,0.56264402002348,0.0278032898666294
XL_VLDL_TG,XL_VLDL_TG,Triglycerides in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23494,23794,,,Lipoprotein subclasses Very large VLDL (average diameter 64 nm),369,0.00299612695783499,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Very large VLDL (average diameter 64 nm),6,0.974513940052656,15815,15502,0,-0.122310241584311,-0.0992363587034235,1.6351535314304,0.0361695501098058
L_VLDL_P,L_VLDL_P,Concentration of Large VLDL Particles,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23495,23795,,,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),367,0.00297988778733182,0.00298568749108296,FALSE,FALSE,FALSE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.96965590213664,3236,0,0,-0.106207309664688,-0.0508409573830799,0.638667768361733,0.029172102257087
L_VLDL_L,L_VLDL_L,Total Lipids in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Composite,TRUE,23496,23796,L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG,L_VLDL_C + L_VLDL_PL + L_VLDL_TG,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),644,0.00522901290202096,0.00298568749108296,FALSE,TRUE,TRUE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.971847582013427,2230,0,0,-0.109620156044755,-0.0430338028291346,0.513290980530517,0.0306889465372776
L_VLDL_PL,L_VLDL_PL,Phospholipids in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23497,23797,,,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),367,0.00297988778733182,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.979074737244421,3810,0,0,-0.104889340984154,-0.0515508085479128,0.670684693800777,0.0274741606931057
L_VLDL_C,L_VLDL_C,Cholesterol in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Composite,TRUE,23498,23798,L_VLDL_CE + L_VLDL_FC,L_VLDL_CE + L_VLDL_FC,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),368,0.00298800737258341,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.978676575335987,58,0,0,0.00266250707868039,-0.00234543634794957,0.212032462721428,0.107214091647275
L_VLDL_CE,L_VLDL_CE,Cholesteryl Esters in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23499,23799,,,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),92,0.000747001843145852,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.981460055296082,599,0,0,0.134405160357798,0.0329620181238544,0.356261572919236,0.0214239178335413
L_VLDL_FC,L_VLDL_FC,Free Cholesterol in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23500,23800,,,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),276,0.00224100552943756,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.97679951494047,1786,0,0,-0.103322844869957,-0.0370977982569065,0.455537862158026,0.0270976939896091
L_VLDL_TG,L_VLDL_TG,Triglycerides in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23501,23801,,,Lipoprotein subclasses Large VLDL (average diameter 53.6 nm),460,0.00373500921572926,0.00298568749108296,FALSE,TRUE,FALSE,Lipoprotein subclasses_Large VLDL (average diameter 53.6 nm),6,0.962717893195319,4213,0,0,-0.114977678478394,-0.0606526035577143,0.782509908546977,0.0364504524308257
M_VLDL_P,M_VLDL_P,Concentration of Medium VLDL Particles,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23502,23802,,,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),614,0.0049854253444734,0.00757905286197981,FALSE,FALSE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.982654420510873,11975,7708,0,0.120647105633716,0.0865493727812756,1.37189956385166,0.022060068172546
M_VLDL_L,M_VLDL_L,Total Lipids in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Composite,TRUE,23503,23803,M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG,M_VLDL_C + M_VLDL_PL + M_VLDL_TG,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),1624,0.0131862064485746,0.00757905286197981,FALSE,TRUE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.980039572297593,3400,0,0,0.114339674922226,0.0576935870485046,0.761472977315904,0.0158582290065671
M_VLDL_PL,M_VLDL_PL,Phospholipids in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23504,23804,,,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),705,0.00572430760236767,0.00757905286197981,FALSE,TRUE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.983249314990734,15380,14915,0,0.124904056936037,0.0966277041993443,1.62000885974869,0.0249692422349211
M_VLDL_C,M_VLDL_C,Cholesterol in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Composite,TRUE,23505,23805,M_VLDL_CE + M_VLDL_FC,M_VLDL_CE + M_VLDL_FC,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),1350,0.0109614400896402,0.00757905286197981,FALSE,TRUE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.983424207244453,28766,28952,1721,0.177164159665942,0.176243427666765,4.27570233455891,0.0487581969956087
M_VLDL_CE,M_VLDL_CE,Cholesteryl Esters in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23506,23806,,,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),985,0.00799779147281157,0.00757905286197981,FALSE,TRUE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.9831467609943,29041,29041,6017,0.213506326317153,0.213506326317153,6.00224218006031,0.0548968812844486
M_VLDL_FC,M_VLDL_FC,Free Cholesterol in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23507,23807,,,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),889,0.00721831128865937,0.00757905286197981,FALSE,TRUE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.983521016612885,22814,24240,0,0.138319121779558,0.123720154509932,2.39224236496962,0.0329003182101999
M_VLDL_TG,M_VLDL_TG,Triglycerides in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23508,23808,,,Lipoprotein subclasses Medium VLDL (average diameter 44.5 nm),367,0.00297988778733182,0.00757905286197981,FALSE,TRUE,FALSE,Lipoprotein subclasses_Medium VLDL (average diameter 44.5 nm),6,0.967394432638696,1687,0,0,-0.112562736634353,-0.0371278601756391,0.411361096923548,0.0318336751260818
S_VLDL_P,S_VLDL_P,Concentration of Small VLDL Particles,mmol/L,Lipoprotein subclasses,Small VLDL (average diameter 36.8 nm),Non-derived,TRUE,23509,23809,,,Lipoprotein subclasses Small VLDL (average diameter 36.8 nm),645,0.00523713248727255,0.00787947751628847,FALSE,FALSE,FALSE,Lipoprotein subclasses_Small VLDL (average diameter 36.8 nm),7,0.981054910904461,75,0,0,0.132128814582784,0.015627831841617,0.243387542834971,0.0263763109691555
S_VLDL_L,S_VLDL_L,Total Lipids in Small VLDL,mmol/L,Lipoprotein subclasses,Small VLDL (average diameter 36.8 nm),Composite,TRUE,23510,23810,S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG,S_VLDL_C + S_VLDL_PL + S_VLDL_TG,Lipoprotein subclasses Small VLDL (average diameter 36.8 nm),1438,0.0116759635917797,0.00787947751628847,FALSE,TRUE,FALSE,Lipoprotein subclasses_Small VLDL (average diameter 36.8 nm),7,0.981927368738129,149,0,0,0.136360389974879,0.0219205468520631,0.291064511122636,0.0219890002372564
S_VLDL_PL,S_VLDL_PL,Phospholipids in Small VLDL,mmol/L,Lipoprotein subclasses,Small VLDL (average diameter 36.8 nm),Non-derived,TRUE,23511,23811,,,Lipoprotein subclasses Small VLDL (average diameter 36.8 nm),917,0.00744565967570376,0.00787947751628847,FALSE,FALSE,FALSE,Lipoprotein subclasses_Small VLDL (average diameter 36.8 nm),7,0.983978030610561,10627,4588,0,0.120632489111545,0.0828752245556214,1.27785639293881,0.0218600994223446
