met,PValue,adjPVal,logFC
PUFA,0.088,0.134,0.081
PUFA_by_MUFA,0.001,0.002,0.162
PUFA_pct,0.0,0.0,0.192
Phe,0.076,0.117,-0.082
Phosphatidylc,0.335,0.417,0.048
Phosphoglyc,0.658,0.725,0.022
Pyruvate,0.116,0.169,-0.075
Remnant_C,0.003,0.007,0.138
SFA,0.157,0.219,-0.066
SFA_pct,0.0,0.001,-0.162
S_HDL_C,0.823,0.864,0.01
S_HDL_CE,0.722,0.78,0.016
S_HDL_CE_pct,0.001,0.004,0.149
S_HDL_CE_pct_C,0.455,0.538,0.036
S_HDL_C_pct,0.0,0.0,0.184
S_HDL_FC,0.854,0.888,-0.009
S_HDL_FC_by_CE,0.457,0.539,-0.036
S_HDL_FC_pct,0.006,0.014,0.133
S_HDL_FC_pct_C,0.475,0.557,-0.034
S_HDL_L,0.218,0.289,-0.057
S_HDL_P,0.947,0.96,0.003
S_HDL_PL,0.091,0.138,-0.079
S_HDL_PL_pct,0.002,0.005,-0.151
S_HDL_TG,0.005,0.011,-0.134
S_HDL_TG_pct,0.007,0.016,-0.129
S_LDL_C,0.002,0.004,0.145
S_LDL_CE,0.008,0.017,0.122
S_LDL_CE_pct,0.995,0.996,0.0
S_LDL_CE_pct_C,0.008,0.017,-0.123
S_LDL_C_pct,0.001,0.002,0.159
S_LDL_FC,0.0,0.0,0.193
S_LDL_FC_by_CE,0.008,0.017,0.123
S_LDL_FC_pct,0.001,0.002,0.159
S_LDL_FC_pct_C,0.008,0.016,0.124
S_LDL_L,0.003,0.008,0.136
S_LDL_P,0.005,0.012,0.129
S_LDL_PL,0.001,0.002,0.154
S_LDL_PL_pct,0.684,0.748,0.019
S_LDL_TG,0.08,0.124,-0.082
S_LDL_TG_pct,0.0,0.0,-0.201
S_VLDL_C,0.034,0.059,0.098
S_VLDL_CE,0.084,0.128,0.08
S_VLDL_CE_pct,0.0,0.001,0.171
S_VLDL_CE_pct_C,0.002,0.006,-0.147
S_VLDL_C_pct,0.0,0.0,0.214
S_VLDL_FC,0.006,0.013,0.127
S_VLDL_FC_by_CE,0.002,0.006,0.145
S_VLDL_FC_pct,0.0,0.0,0.237
S_VLDL_FC_pct_C,0.002,0.004,0.152
S_VLDL_L,0.662,0.729,0.02
S_VLDL_P,0.804,0.848,0.012
S_VLDL_PL,0.069,0.108,0.084
S_VLDL_PL_pct,0.0,0.0,0.241
S_VLDL_TG,0.07,0.109,-0.085
S_VLDL_TG_pct,0.0,0.0,-0.217
Sphingomyelins,0.015,0.029,0.121
TG_by_PG,0.029,0.051,-0.108
Total_BCAA,0.021,0.039,-0.11
Total_C,0.0,0.002,0.166
Total_CE,0.0,0.001,0.169
Total_CE_pct,0.0,0.0,0.216
Total_CE_pct_C,0.789,0.836,-0.013
Total_C_pct,0.0,0.0,0.229
Total_FA,0.586,0.661,-0.025
Total_FC,0.001,0.003,0.155
Total_FC_by_CE,0.786,0.834,0.013
Total_FC_pct,0.0,0.0,0.238
Total_FC_pct_C,0.772,0.822,0.014
Total_L,0.087,0.132,0.08
Total_P,0.243,0.318,0.058
Total_PL,0.132,0.189,0.073
Total_PL_pct,0.138,0.196,-0.071
Total_TG,0.067,0.105,-0.086
Total_TG_pct,0.002,0.004,-0.153
Tyr,0.51,0.591,-0.031
Unsaturation,0.05,0.082,0.095
VLDL_C,0.11,0.162,0.074
VLDL_CE,0.03,0.052,0.1
VLDL_CE_pct,0.0,0.0,0.188
VLDL_CE_pct_C,0.0,0.001,0.185
VLDL_C_pct,0.0,0.0,0.191
VLDL_FC,0.429,0.512,0.037
VLDL_FC_by_CE,0.0,0.001,-0.186
VLDL_FC_pct,0.0,0.0,0.198
VLDL_FC_pct_C,0.0,0.001,-0.18
VLDL_L,0.699,0.76,-0.018
VLDL_P,0.416,0.5,0.038
VLDL_PL,0.821,0.862,0.011
VLDL_PL_pct,0.0,0.001,0.174
